shipment_id,supplier_id,product_id,shipment_date,expected_delivery,actual_delivery,status
SHIP-000039,SUP-013,PROD-0032,2024-11-05,2024-11-21,2024-11-23,Delivered
SHIP-000040,SUP-015,PROD-0018,2024-07-04,2024-07-31,2024-07-29,Delivered
SHIP-000041,SUP-007,PROD-0065,2024-11-02,2024-11-22,2024-11-25,Delayed
SHIP-000042,SUP-007,PROD-0064,2024-01-03,2024-01-23,2024-01-31,Delayed
SHIP-000043,SUP-004,PROD-0004,2024-07-30,2024-08-15,2024-08-21,Delayed
SHIP-000044,SUP-010,PROD-0028,2024-11-22,2024-12-13,2024-12-14,Delivered
SHIP-000045,SUP-010,PROD-0070,2024-04-25,2024-05-16,2024-05-16,Delivered
SHIP-000046,SUP-011,PROD-0099,2024-02-14,2024-03-15,2024-03-16,Delivered
SHIP-000047,SUP-018,PROD-0061,2024-05-02,2024-05-24,2024-05-24,Delivered
SHIP-000048,SUP-010,PROD-0092,2024-02-26,2024-03-18,2024-03-16,Delivered
SHIP-000049,SUP-002,PROD-0085,2024-03-17,2024-04-10,2024-04-12,Delivered
SHIP-000050,SUP-013,PROD-0045,2024-07-11,2024-07-27,2024-07-25,Delivered
SHIP-000051,SUP-008,PROD-0097,2024-01-28,2024-02-20,2024-02-20,Delivered
SHIP-000052,SUP-007,PROD-0092,2024-08-04,2024-08-24,2024-08-24,Delivered
SHIP-000053,SUP-001,PROD-0061,2024-10-24,2024-10-31,2024-10-30,Delivered
SHIP-000054,SUP-019,PROD-0037,2024-07-06,2024-07-10,2024-07-11,Delivered
SHIP-000055,SUP-013,PROD-0061,2024-08-15,2024-08-31,2024-08-31,Delivered
SHIP-000056,SUP-004,PROD-0034,2024-10-23,2024-11-08,2024-11-09,Delivered
SHIP-000057,SUP-011,PROD-0016,2024-02-13,2024-03-14,2024-03-13,Delivered
SHIP-000058,SUP-009,PROD-0099,2024-03-18,2024-04-03,2024-04-04,Delivered
SHIP-000059,SUP-002,PROD-0056,2024-12-15,2025-01-08,2025-01-10,Delivered
SHIP-000060,SUP-019,PROD-0038,2024-09-09,2024-09-13,2024-09-13,Delivered
SHIP-000061,SUP-017,PROD-0001,2024-03-24,2024-04-07,2024-04-05,Delivered
SHIP-000062,SUP-011,PROD-0099,2024-06-10,2024-07-10,2024-07-12,Delivered
SHIP-000063,SUP-013,PROD-0027,2024-11-15,2024-12-01,2024-12-03,Delivered
SHIP-000064,SUP-018,PROD-0069,2024-10-31,2024-11-22,2024-11-26,Delayed
SHIP-000065,SUP-001,PROD-0043,2024-07-24,2024-07-31,2024-08-02,Delivered
SHIP-000066,SUP-003,PROD-0016,2024-05-07,2024-05-27,2024-05-25,Delivered
SHIP-000067,SUP-004,PROD-0061,2024-06-11,2024-06-27,2024-07-01,Delayed
SHIP-000068,SUP-006,PROD-0035,2024-02-17,2024-03-07,2024-03-06,Delivered
SHIP-000069,SUP-014,PROD-0071,2024-05-14,2024-05-21,2024-05-21,Delivered
SHIP-000070,SUP-010,PROD-0001,2024-12-25,2025-01-15,2025-01-22,Delayed
SHIP-000071,SUP-009,PROD-0061,2024-06-05,2024-06-21,2024-07-01,Delayed
SHIP-000072,SUP-006,PROD-0013,2024-04-21,2024-05-10,2024-05-09,Delivered
SHIP-000073,SUP-007,PROD-0015,2024-08-15,2024-09-04,2024-09-05,Delivered
SHIP-000074,SUP-015,PROD-0074,2024-05-15,2024-06-11,2024-06-09,Delivered
SHIP-000075,SUP-010,PROD-0082,2024-12-15,2025-01-05,2025-01-07,Delivered
SHIP-000076,SUP-018,PROD-0016,2024-06-11,2024-07-03,2024-07-05,Delivered
SHIP-000077,SUP-003,PROD-0092,2024-06-29,2024-07-19,2024-07-17,Delivered
SHIP-000078,SUP-012,PROD-0063,2024-04-08,2024-05-06,2024-05-04,Delivered
SHIP-000079,SUP-004,PROD-0006,2024-11-28,2024-12-14,2024-12-18,Delayed
SHIP-000080,SUP-003,PROD-0024,2024-09-09,2024-09-29,2024-09-27,Delivered
SHIP-000081,SUP-005,PROD-0082,2024-08-24,2024-08-29,2024-08-27,Delivered
SHIP-000082,SUP-017,PROD-0014,2024-04-15,2024-04-29,2024-04-27,Delivered
SHIP-000083,SUP-011,PROD-0065,2024-02-28,2024-03-29,2024-03-28,Delivered
SHIP-000084,SUP-002,PROD-0089,2024-08-19,2024-09-12,2024-09-11,Delivered
SHIP-000085,SUP-019,PROD-0086,2024-02-16,2024-02-20,2024-02-22,Delivered
SHIP-000086,SUP-007,PROD-0015,2024-11-19,2024-12-09,2024-12-13,Delayed
SHIP-000087,SUP-018,PROD-0071,2024-08-20,2024-09-11,2024-09-10,Delivered
SHIP-000088,SUP-002,PROD-0008,2024-06-11,2024-07-05,2024-07-06,Delivered
SHIP-000089,SUP-012,PROD-0016,2024-07-02,2024-07-30,2024-08-08,Delayed
SHIP-000090,SUP-016,PROD-0088,2024-05-12,2024-05-17,2024-05-15,Delivered
SHIP-000091,SUP-001,PROD-0030,2024-10-18,2024-10-25,2024-10-25,Delivered
SHIP-000092,SUP-006,PROD-0089,2024-05-28,2024-06-16,2024-06-17,Delivered
SHIP-000093,SUP-004,PROD-0032,2024-01-30,2024-02-15,2024-02-16,Delivered
SHIP-000094,SUP-009,PROD-0093,2024-10-10,2024-10-26,2024-10-31,Delayed
SHIP-000095,SUP-018,PROD-0015,2024-05-28,2024-06-19,2024-06-20,Delivered
SHIP-000096,SUP-001,PROD-0037,2024-05-23,2024-05-30,2024-05-29,Delivered
SHIP-000097,SUP-015,PROD-0022,2024-06-04,2024-07-01,2024-07-05,Delayed
SHIP-000098,SUP-016,PROD-0035,2024-03-03,2024-03-08,2024-03-09,Delivered
SHIP-000099,SUP-017,PROD-0094,2024-06-11,2024-06-25,2024-06-26,Delivered
SHIP-000100,SUP-005,PROD-0099,2024-08-11,2024-08-16,2024-08-18,Delivered
SHIP-000101,SUP-015,PROD-0014,2024-03-15,2024-04-11,2024-04-09,Delivered
SHIP-000102,SUP-009,PROD-0068,2024-11-25,2024-12-11,2024-12-11,Delivered
SHIP-000103,SUP-013,PROD-0042,2024-03-05,2024-03-21,2024-03-19,Delivered
SHIP-000104,SUP-009,PROD-0002,2024-08-04,2024-08-20,2024-08-27,Delayed
SHIP-000105,SUP-004,PROD-0056,2024-07-23,2024-08-08,2024-08-10,Delivered
SHIP-000106,SUP-009,PROD-0037,2024-11-01,2024-11-17,2024-11-21,Delayed
SHIP-000107,SUP-017,PROD-0081,2024-11-17,2024-12-01,2024-12-03,Delivered
SHIP-000108,SUP-016,PROD-0093,2024-03-17,2024-03-22,2024-03-23,Delivered
SHIP-000109,SUP-013,PROD-0058,2024-07-19,2024-08-04,2024-08-02,Delivered
SHIP-000110,SUP-008,PROD-0035,2024-09-10,2024-10-03,2024-10-03,Delivered
SHIP-000111,SUP-016,PROD-0005,2024-06-15,2024-06-20,2024-06-19,Delivered
SHIP-000112,SUP-009,PROD-0065,2024-02-20,2024-03-07,2024-03-14,Delayed
SHIP-000113,SUP-018,PROD-0062,2024-10-24,2024-11-15,2024-11-18,Delayed
SHIP-000114,SUP-014,PROD-0019,2024-08-08,2024-08-15,2024-08-15,Delivered
SHIP-000115,SUP-004,PROD-0019,2024-11-26,2024-12-12,2024-12-16,Delayed
SHIP-000116,SUP-010,PROD-0075,2024-02-19,2024-03-11,2024-03-10,Delivered
SHIP-000117,SUP-003,PROD-0022,2024-08-31,2024-09-20,2024-09-24,Delayed
SHIP-000118,SUP-015,PROD-0027,2024-04-24,2024-05-21,2024-05-21,Delivered
SHIP-000119,SUP-001,PROD-0070,2024-11-24,2024-12-01,2024-11-30,Delivered
SHIP-000120,SUP-008,PROD-0067,2024-11-19,2024-12-12,2024-12-10,Delivered
SHIP-000121,SUP-004,PROD-0039,2024-09-11,2024-09-27,2024-09-25,Delivered
SHIP-000122,SUP-014,PROD-0055,2024-11-23,2024-11-30,2024-12-01,Delivered
SHIP-000123,SUP-017,PROD-0014,2024-10-22,2024-11-05,2024-11-05,Delivered
SHIP-000124,SUP-008,PROD-0032,2024-08-19,2024-09-11,2024-09-09,Delivered
SHIP-000125,SUP-009,PROD-0058,2024-02-27,2024-03-14,2024-03-16,Delivered
SHIP-000126,SUP-010,PROD-0057,2024-04-26,2024-05-17,2024-05-24,Delayed
SHIP-000127,SUP-005,PROD-0098,2024-02-24,2024-02-29,2024-02-29,Delivered
SHIP-000128,SUP-016,PROD-0041,2024-11-20,2024-11-25,2024-12-02,Delayed
SHIP-000129,SUP-011,PROD-0078,2024-11-23,2024-12-23,2024-12-23,Delivered
SHIP-000130,SUP-016,PROD-0058,2024-09-12,2024-09-17,2024-09-17,Delivered
SHIP-000131,SUP-017,PROD-0091,2024-12-25,2025-01-08,2025-01-10,Delivered
SHIP-000132,SUP-012,PROD-0089,2024-08-09,2024-09-06,2024-09-16,Delayed
SHIP-000133,SUP-015,PROD-0001,2024-01-18,2024-02-14,2024-02-15,Delivered
SHIP-000134,SUP-009,PROD-0004,2024-09-14,2024-09-30,2024-10-05,Delayed
SHIP-000135,SUP-001,PROD-0037,2024-07-04,2024-07-11,2024-07-09,Delivered
SHIP-000136,SUP-020,PROD-0028,2024-12-06,2024-12-26,2025-01-05,Delayed
SHIP-000137,SUP-009,PROD-0033,2024-06-12,2024-06-28,2024-06-26,Delivered
SHIP-000138,SUP-009,PROD-0060,2024-10-15,2024-10-31,2024-10-29,Delivered
SHIP-000139,SUP-019,PROD-0013,2024-02-12,2024-02-16,2024-02-20,Delayed
SHIP-000140,SUP-002,PROD-0092,2024-09-22,2024-10-16,2024-10-17,Delivered
SHIP-000141,SUP-010,PROD-0012,2024-10-12,2024-11-02,2024-11-03,Delivered
SHIP-000142,SUP-005,PROD-0084,2024-05-17,2024-05-22,2024-05-24,Delivered
SHIP-000143,SUP-001,PROD-0017,2024-07-02,2024-07-09,2024-07-07,Delivered
SHIP-000144,SUP-013,PROD-0057,2024-06-16,2024-07-02,2024-07-02,Delivered
SHIP-000145,SUP-014,PROD-0025,2024-01-17,2024-01-24,2024-01-25,Delivered
SHIP-000146,SUP-014,PROD-0096,2024-10-19,2024-10-26,2024-10-24,Delivered
SHIP-000147,SUP-008,PROD-0098,2024-09-28,2024-10-21,2024-10-20,Delivered
SHIP-000148,SUP-019,PROD-0093,2024-07-18,2024-07-22,2024-07-20,Delivered
SHIP-000149,SUP-019,PROD-0090,2024-07-22,2024-07-26,2024-07-31,Delayed
SHIP-000150,SUP-013,PROD-0060,2024-05-27,2024-06-12,2024-06-10,Delivered
SHIP-000151,SUP-006,PROD-0095,2024-02-16,2024-03-06,2024-03-06,Delivered
SHIP-000152,SUP-005,PROD-0045,2024-01-19,2024-01-24,2024-02-02,Delayed
SHIP-000153,SUP-003,PROD-0024,2024-03-31,2024-04-20,2024-04-23,Delayed
SHIP-000154,SUP-013,PROD-0095,2024-09-18,2024-10-04,2024-10-07,Delayed
SHIP-000155,SUP-003,PROD-0095,2024-07-20,2024-08-09,2024-08-08,Delivered
SHIP-000156,SUP-012,PROD-0028,2024-02-15,2024-03-14,2024-03-19,Delayed
SHIP-000157,SUP-013,PROD-0017,2024-12-07,2024-12-23,2025-01-02,Delayed
SHIP-000158,SUP-013,PROD-0095,2024-06-19,2024-07-05,2024-07-07,Delivered
SHIP-000159,SUP-010,PROD-0065,2024-03-17,2024-04-07,2024-04-06,Delivered
SHIP-000160,SUP-017,PROD-0007,2024-04-17,2024-05-01,2024-04-29,Delivered
SHIP-000161,SUP-004,PROD-0036,2024-04-04,2024-04-20,2024-04-21,Delivered
SHIP-000162,SUP-019,PROD-0099,2024-09-12,2024-09-16,2024-09-14,Delivered
SHIP-000163,SUP-006,PROD-0035,2024-12-19,2025-01-07,2025-01-06,Delivered
SHIP-000164,SUP-017,PROD-0037,2024-06-25,2024-07-09,2024-07-10,Delivered
SHIP-000165,SUP-002,PROD-0057,2024-03-04,2024-03-28,2024-03-29,Delivered
SHIP-000166,SUP-003,PROD-0023,2024-12-24,2025-01-13,,In Transit
SHIP-000167,SUP-012,PROD-0053,2024-03-30,2024-04-27,2024-04-28,Delivered
SHIP-000168,SUP-012,PROD-0040,2024-04-06,2024-05-04,2024-05-04,Delivered
SHIP-000169,SUP-020,PROD-0002,2024-11-29,2024-12-19,2024-12-20,Delivered
SHIP-000170,SUP-010,PROD-0016,2024-05-10,2024-05-31,2024-05-29,Delivered
SHIP-000171,SUP-008,PROD-0064,2024-12-12,2025-01-04,,In Transit
SHIP-000172,SUP-017,PROD-0042,2024-04-04,2024-04-18,2024-04-20,Delivered
SHIP-000173,SUP-005,PROD-0039,2024-05-02,2024-05-07,2024-05-14,Delayed
SHIP-000174,SUP-019,PROD-0032,2024-02-27,2024-03-02,2024-03-04,Delivered
SHIP-000175,SUP-010,PROD-0033,2024-08-21,2024-09-11,2024-09-13,Delivered
SHIP-000176,SUP-001,PROD-0048,2024-05-27,2024-06-03,2024-06-01,Delivered
SHIP-000177,SUP-020,PROD-0037,2024-12-05,2024-12-25,,In Transit
SHIP-000178,SUP-006,PROD-0036,2024-04-25,2024-05-14,2024-05-17,Delayed
SHIP-000179,SUP-007,PROD-0086,2024-10-21,2024-11-10,2024-11-12,Delivered
SHIP-000180,SUP-005,PROD-0051,2024-09-08,2024-09-13,2024-09-15,Delivered
SHIP-000181,SUP-019,PROD-0070,2024-04-24,2024-04-28,2024-04-27,Delivered
SHIP-000182,SUP-003,PROD-0044,2024-09-07,2024-09-27,2024-09-29,Delivered
SHIP-000183,SUP-006,PROD-0016,2024-06-27,2024-07-16,2024-07-15,Delivered
SHIP-000184,SUP-011,PROD-0080,2024-09-23,2024-10-23,2024-10-27,Delayed
SHIP-000185,SUP-003,PROD-0008,2024-08-04,2024-08-24,2024-08-28,Delayed
SHIP-000186,SUP-016,PROD-0037,2024-03-06,2024-03-11,2024-03-09,Delivered
SHIP-000187,SUP-015,PROD-0081,2024-05-02,2024-05-29,2024-05-27,Delivered
SHIP-000188,SUP-012,PROD-0045,2024-12-03,2024-12-31,,Pending
SHIP-000189,SUP-009,PROD-0041,2024-01-26,2024-02-11,2024-02-12,Delivered
SHIP-000190,SUP-017,PROD-0017,2024-06-17,2024-07-01,2024-06-29,Delivered
SHIP-000191,SUP-011,PROD-0036,2024-04-01,2024-05-01,2024-05-10,Delayed
SHIP-000192,SUP-009,PROD-0050,2024-10-22,2024-11-07,2024-11-09,Delivered
SHIP-000193,SUP-002,PROD-0051,2024-05-27,2024-06-20,2024-06-18,Delivered
SHIP-000194,SUP-015,PROD-0006,2024-03-28,2024-04-24,2024-04-23,Delivered
SHIP-000195,SUP-008,PROD-0008,2024-04-02,2024-04-25,2024-04-24,Delivered
SHIP-000196,SUP-003,PROD-0034,2024-01-18,2024-02-07,2024-02-06,Delivered
SHIP-000197,SUP-002,PROD-0045,2024-09-25,2024-10-19,2024-10-20,Delivered
SHIP-000198,SUP-010,PROD-0027,2024-01-31,2024-02-21,2024-02-28,Delayed
SHIP-000199,SUP-012,PROD-0083,2024-04-16,2024-05-14,2024-05-12,Delivered
SHIP-000200,SUP-006,PROD-0091,2024-05-07,2024-05-26,2024-05-28,Delivered
SHIP-000201,SUP-017,PROD-0014,2024-06-29,2024-07-13,2024-07-14,Delivered
SHIP-000202,SUP-018,PROD-0056,2024-09-22,2024-10-14,2024-10-16,Delivered
SHIP-000203,SUP-002,PROD-0081,2024-03-27,2024-04-20,2024-04-18,Delivered
SHIP-000204,SUP-019,PROD-0008,2024-08-05,2024-08-09,2024-08-11,Delivered
SHIP-000205,SUP-014,PROD-0089,2024-04-05,2024-04-12,2024-04-10,Delivered
SHIP-000206,SUP-018,PROD-0013,2024-09-21,2024-10-13,2024-10-15,Delivered
SHIP-000207,SUP-020,PROD-0001,2024-04-17,2024-05-07,2024-05-07,Delivered
SHIP-000208,SUP-019,PROD-0012,2024-02-24,2024-02-28,2024-02-26,Delivered
SHIP-000209,SUP-004,PROD-0051,2024-08-17,2024-09-02,2024-09-09,Delayed
SHIP-000210,SUP-020,PROD-0030,2024-05-18,2024-06-07,2024-06-09,Delivered
SHIP-000211,SUP-010,PROD-0100,2024-10-13,2024-11-03,2024-11-09,Delayed
SHIP-000212,SUP-017,PROD-0098,2024-10-03,2024-10-17,2024-10-18,Delivered
SHIP-000213,SUP-002,PROD-0022,2024-11-22,2024-12-16,2024-12-17,Delivered
SHIP-000214,SUP-015,PROD-0055,2024-04-28,2024-05-25,2024-05-23,Delivered
SHIP-000215,SUP-001,PROD-0026,2024-04-24,2024-05-01,2024-05-02,Delivered
SHIP-000216,SUP-014,PROD-0090,2024-02-01,2024-02-08,2024-02-10,Delivered
SHIP-000217,SUP-005,PROD-0064,2024-05-16,2024-05-21,2024-05-21,Delivered
SHIP-000218,SUP-016,PROD-0031,2024-07-06,2024-07-11,2024-07-09,Delivered
SHIP-000219,SUP-002,PROD-0088,2024-08-13,2024-09-06,2024-09-04,Delivered
SHIP-000220,SUP-011,PROD-0069,2024-01-08,2024-02-07,2024-02-06,Delivered
SHIP-000221,SUP-001,PROD-0096,2024-07-01,2024-07-08,2024-07-10,Delivered
SHIP-000222,SUP-019,PROD-0070,2024-09-22,2024-09-26,2024-09-25,Delivered
SHIP-000223,SUP-008,PROD-0059,2024-05-15,2024-06-07,2024-06-05,Delivered
SHIP-000224,SUP-019,PROD-0059,2024-12-07,2024-12-11,,Pending
SHIP-000225,SUP-003,PROD-0043,2024-10-16,2024-11-05,2024-11-04,Delivered
SHIP-000226,SUP-014,PROD-0030,2024-09-21,2024-09-28,2024-10-01,Delayed
SHIP-000227,SUP-013,PROD-0035,2024-03-10,2024-03-26,2024-03-28,Delivered
SHIP-000228,SUP-013,PROD-0020,2024-05-23,2024-06-08,2024-06-10,Delivered
SHIP-000229,SUP-001,PROD-0021,2024-10-10,2024-10-17,2024-10-17,Delivered
SHIP-000230,SUP-006,PROD-0040,2024-09-20,2024-10-09,2024-10-09,Delivered
SHIP-000231,SUP-003,PROD-0041,2024-04-22,2024-05-12,2024-05-12,Delivered
SHIP-000232,SUP-008,PROD-0090,2024-08-06,2024-08-29,2024-08-27,Delivered
SHIP-000233,SUP-001,PROD-0094,2024-06-13,2024-06-20,2024-06-19,Delivered
SHIP-000234,SUP-009,PROD-0035,2024-04-20,2024-05-06,2024-05-07,Delivered
SHIP-000235,SUP-009,PROD-0007,2024-01-09,2024-01-25,2024-01-26,Delivered
SHIP-000236,SUP-012,PROD-0057,2024-12-14,2025-01-11,2025-01-14,Delayed
SHIP-000237,SUP-010,PROD-0019,2024-12-05,2024-12-26,2024-12-25,Delivered
SHIP-000238,SUP-015,PROD-0071,2024-04-29,2024-05-26,2024-05-28,Delivered
SHIP-000239,SUP-015,PROD-0094,2024-02-05,2024-03-03,2024-03-01,Delivered
SHIP-000240,SUP-017,PROD-0028,2024-02-23,2024-03-08,2024-03-16,Delayed
SHIP-000241,SUP-003,PROD-0085,2024-06-21,2024-07-11,2024-07-14,Delayed
SHIP-000242,SUP-018,PROD-0082,2024-10-31,2024-11-22,2024-11-21,Delivered
SHIP-000243,SUP-007,PROD-0071,2024-02-28,2024-03-19,2024-03-26,Delayed
SHIP-000244,SUP-018,PROD-0031,2024-12-16,2025-01-07,2025-01-08,Delivered
SHIP-000245,SUP-007,PROD-0044,2024-02-09,2024-02-29,2024-03-03,Delayed
SHIP-000246,SUP-002,PROD-0054,2024-04-20,2024-05-14,2024-05-13,Delivered
SHIP-000247,SUP-005,PROD-0072,2024-01-15,2024-01-20,2024-01-22,Delivered
SHIP-000248,SUP-016,PROD-0033,2024-10-24,2024-10-29,2024-10-27,Delivered
SHIP-000249,SUP-019,PROD-0017,2024-01-08,2024-01-12,2024-01-12,Delivered
SHIP-000250,SUP-015,PROD-0084,2024-09-21,2024-10-18,2024-10-19,Delivered
SHIP-000251,SUP-006,PROD-0057,2024-03-14,2024-04-02,2024-04-03,Delivered
SHIP-000252,SUP-001,PROD-0084,2024-04-03,2024-04-10,2024-04-11,Delivered
SHIP-000253,SUP-008,PROD-0024,2024-12-20,2025-01-12,2025-01-12,Delivered
SHIP-000254,SUP-016,PROD-0028,2024-05-18,2024-05-23,2024-05-29,Delayed
SHIP-000255,SUP-017,PROD-0009,2024-03-16,2024-03-30,2024-03-30,Delivered
SHIP-000256,SUP-004,PROD-0036,2024-02-01,2024-02-17,2024-02-25,Delayed
SHIP-000257,SUP-012,PROD-0052,2024-03-09,2024-04-06,2024-04-08,Delivered
SHIP-000258,SUP-008,PROD-0023,2024-01-13,2024-02-05,2024-02-04,Delivered
SHIP-000259,SUP-019,PROD-0054,2024-07-15,2024-07-19,2024-07-20,Delivered
SHIP-000260,SUP-008,PROD-0030,2024-11-15,2024-12-08,2024-12-07,Delivered
SHIP-000261,SUP-006,PROD-0049,2024-01-13,2024-02-01,2024-01-31,Delivered
SHIP-000262,SUP-020,PROD-0035,2024-01-18,2024-02-07,2024-02-08,Delivered
SHIP-000263,SUP-002,PROD-0051,2024-10-07,2024-10-31,2024-11-02,Delivered
SHIP-000264,SUP-011,PROD-0064,2024-01-12,2024-02-11,2024-02-19,Delayed
SHIP-000265,SUP-014,PROD-0082,2024-12-22,2024-12-29,,Pending
SHIP-000266,SUP-005,PROD-0083,2024-10-18,2024-10-23,2024-10-24,Delivered
SHIP-000267,SUP-019,PROD-0079,2024-10-03,2024-10-07,2024-10-07,Delivered
SHIP-000268,SUP-014,PROD-0065,2024-05-22,2024-05-29,2024-05-29,Delivered
SHIP-000269,SUP-007,PROD-0085,2024-12-26,2025-01-15,2025-01-17,Delivered
SHIP-000270,SUP-011,PROD-0089,2024-08-16,2024-09-15,2024-09-14,Delivered
SHIP-000271,SUP-011,PROD-0062,2024-01-18,2024-02-17,2024-02-24,Delayed
SHIP-000272,SUP-001,PROD-0093,2024-01-29,2024-02-05,2024-02-13,Delayed
SHIP-000273,SUP-004,PROD-0074,2024-02-13,2024-02-29,2024-03-08,Delayed
SHIP-000274,SUP-010,PROD-0039,2024-12-19,2025-01-09,2025-01-10,Delivered
SHIP-000275,SUP-007,PROD-0044,2024-05-23,2024-06-12,2024-06-11,Delivered
SHIP-000276,SUP-014,PROD-0078,2024-01-25,2024-02-01,2024-02-02,Delivered
SHIP-000277,SUP-016,PROD-0067,2024-11-26,2024-12-01,2024-12-01,Delivered
SHIP-000278,SUP-020,PROD-0054,2024-11-03,2024-11-23,2024-11-22,Delivered
SHIP-000279,SUP-017,PROD-0050,2024-01-19,2024-02-02,2024-01-31,Delivered
SHIP-000280,SUP-015,PROD-0090,2024-02-06,2024-03-04,2024-03-04,Delivered
SHIP-000281,SUP-017,PROD-0080,2024-11-17,2024-12-01,2024-11-29,Delivered
SHIP-000282,SUP-002,PROD-0089,2024-06-27,2024-07-21,2024-07-23,Delivered
SHIP-000283,SUP-016,PROD-0039,2024-01-27,2024-02-01,2024-02-02,Delivered
SHIP-000284,SUP-004,PROD-0047,2024-01-10,2024-01-26,2024-01-26,Delivered
SHIP-000285,SUP-001,PROD-0078,2024-05-19,2024-05-26,2024-06-03,Delayed
SHIP-000286,SUP-019,PROD-0083,2024-06-07,2024-06-11,2024-06-09,Delivered
SHIP-000287,SUP-014,PROD-0006,2024-01-26,2024-02-02,2024-02-02,Delivered
SHIP-000288,SUP-013,PROD-0097,2024-01-20,2024-02-05,2024-02-06,Delivered
SHIP-000289,SUP-013,PROD-0062,2024-05-10,2024-05-26,2024-06-02,Delayed
SHIP-000290,SUP-008,PROD-0067,2024-11-15,2024-12-08,2024-12-10,Delivered
SHIP-000291,SUP-007,PROD-0052,2024-04-18,2024-05-08,2024-05-10,Delivered
SHIP-000292,SUP-016,PROD-0039,2024-08-13,2024-08-18,2024-08-18,Delivered
SHIP-000293,SUP-013,PROD-0017,2024-07-27,2024-08-12,2024-08-14,Delivered
SHIP-000294,SUP-011,PROD-0087,2024-10-24,2024-11-23,2024-11-23,Delivered
SHIP-000295,SUP-010,PROD-0003,2024-07-21,2024-08-11,2024-08-11,Delivered
SHIP-000296,SUP-006,PROD-0062,2024-08-15,2024-09-03,2024-09-01,Delivered
SHIP-000297,SUP-020,PROD-0090,2024-04-08,2024-04-28,2024-04-29,Delivered
