product_id,product_name,category,warehouse_id,supplier_id,current_stock,safety_stock,reorder_point,lead_time_days,avg_daily_sales,days_of_stock,unit_cost,holding_cost_rate,ordering_cost,avg_demand_30d,demand_std,stockout_risk,overstock_ratio,is_overstock,is_understocked,annual_holding_cost
PROD-0025,Pharmaceuticals Product 025,Pharmaceuticals,WH-05,SUP-05,1300,59,111,14,28.5,45.61136775627156,60.37,0.16,445.1,28.501666666666665,3.095554416071205,0.0,3.903903903903904,1,0,12556.960000000001
PROD-0026,Electronics Product 026,Electronics,WH-01,SUP-06,475,82,67,5,35.38,13.426929237727316,473.74,0.3,289.72,35.376666666666665,9.18415249997825,0.0,2.36318407960199,1,0,67507.95
PROD-0027,Clothing Product 027,Clothing,WH-02,SUP-07,4794,80,190,24,70.98,67.54332409712111,67.25,0.17,287.45,70.97666666666667,18.790744555561812,0.0,5.0,1,0,54807.405000000006
PROD-0028,Food Product 028,Food,WH-03,SUP-08,4321,89,101,9,127.42,33.910764175918466,305.26,0.26,229.55,127.42266666666666,24.13385174397187,0.0,5.0,1,0,342947.3996
PROD-0029,Industrial Product 029,Industrial,WH-04,SUP-09,609,76,182,14,21.88,27.829822236439252,337.49,0.22,161.56,21.882999999999996,2.870774741955145,0.0,1.1153846153846154,0,0,45216.9102
PROD-0030,Pharmaceuticals Product 030,Pharmaceuticals,WH-05,SUP-10,212,95,191,3,29.33,7.227519119969998,36.69,0.18,149.1,29.332333333333334,2.2907630253029505,0.0,0.3699825479930192,0,0,1400.0903999999998
PROD-0031,Electronics Product 031,Electronics,WH-01,SUP-11,2449,27,108,23,38.49,63.63297794022119,40.14,0.16,64.14,38.48633333333334,8.431122333920273,0.0,5.0,1,0,15728.4576
PROD-0032,Clothing Product 032,Clothing,WH-02,SUP-12,4310,50,121,19,61.65,69.91192071242031,168.56,0.25,146.41,61.649,12.14577214311063,0.0,5.0,1,0,181623.4
PROD-0033,Food Product 033,Food,WH-03,SUP-13,8573,93,171,21,120.31,71.25561035075081,70.49,0.19,262.84,120.31333333333333,12.212064682497719,0.0,5.0,1,0,114819.04629999999
PROD-0034,Industrial Product 034,Industrial,WH-04,SUP-14,99,32,160,6,22.1,4.479840716774516,206.49,0.2,235.0,22.098999999999997,2.542009890955235,0.2534,0.20625,0,1,4088.5020000000004
PROD-0035,Pharmaceuticals Product 035,Pharmaceuticals,WH-05,SUP-15,123,32,65,4,28.57,4.305868350117273,432.6,0.21,202.69,28.56566666666667,1.8150796912847607,0.0,0.6307692307692307,0,0,11174.058
PROD-0036,Electronics Product 036,Electronics,WH-01,SUP-16,569,44,98,10,36.1,15.76191839259827,431.53,0.23,113.08,36.099666666666664,9.699448192453824,0.0,1.935374149659864,1,0,56474.331099999996
PROD-0037,Clothing Product 037,Clothing,WH-02,SUP-17,3579,51,69,17,67.45,53.06152705707932,95.83,0.22,437.61,67.45,18.118377147972883,0.0,5.0,1,0,75454.6254
PROD-0038,Food Product 038,Food,WH-03,SUP-18,1174,89,53,4,117.8,9.965705748531459,277.41,0.3,466.87,117.804,22.639181269901044,0.0,5.0,1,0,97703.80200000001
PROD-0039,Industrial Product 039,Industrial,WH-04,SUP-19,265,72,174,8,21.93,12.084454375484519,425.1,0.22,439.09,21.929,3.012003762724535,0.0,0.5076628352490421,0,0,24783.33
PROD-0040,Pharmaceuticals Product 040,Pharmaceuticals,WH-05,SUP-20,218,68,50,8,29.14,7.481125600549073,451.71,0.3,169.34,29.14,2.8275548918925595,0.0649,1.4533333333333334,0,1,29541.834
PROD-0041,Electronics Product 041,Electronics,WH-01,SUP-01,1990,56,158,17,40.22,49.479922091914965,393.11,0.25,378.73,40.218333333333334,5.490735920837999,0.0,4.198312236286919,1,0,195572.225
PROD-0042,Clothing Product 042,Clothing,WH-02,SUP-02,5154,82,89,24,72.81,70.78309116378718,392.76,0.18,147.97,72.81400000000001,11.781599252749665,0.0,5.0,1,0,364371.3072
PROD-0043,Food Product 043,Food,WH-03,SUP-03,10821,89,65,26,109.54,98.78282567020662,33.95,0.26,75.72,109.54333333333332,18.360452712542667,0.0,5.0,1,0,95516.967
PROD-0044,Industrial Product 044,Industrial,WH-04,SUP-04,961,87,90,19,22.46,42.78082801602612,294.17,0.16,278.52,22.46333333333333,2.724673855537137,0.0,3.5592592592592593,1,0,45231.5792
PROD-0045,Pharmaceuticals Product 045,Pharmaceuticals,WH-05,SUP-05,315,96,67,5,28.25,11.151231945624469,426.41,0.25,155.84,28.248,3.552599986864352,0.0,1.5671641791044777,1,0,33579.7875
PROD-0046,Electronics Product 046,Electronics,WH-01,SUP-06,620,51,198,21,37.79,16.406167307624457,64.34,0.24,328.72,37.79066666666667,8.701512183851367,0.2188,1.0437710437710437,0,1,9573.792
PROD-0047,Clothing Product 047,Clothing,WH-02,SUP-07,997,92,183,21,74.21,13.43460567568296,212.52,0.2,167.34,74.21133333333333,20.15855637782868,0.3603,1.8160291438979963,1,1,42376.488000000005
PROD-0048,Food Product 048,Food,WH-03,SUP-08,2977,50,117,13,113.81,26.157401305673442,336.51,0.21,352.26,113.81099999999999,12.089551175252433,0.0,5.0,1,0,210375.9567
PROD-0049,Industrial Product 049,Industrial,WH-04,SUP-09,463,29,52,13,21.88,21.15700968744288,153.5,0.22,499.3,21.884,2.4309659064032387,0.0,2.967948717948718,1,0,15635.51
PROD-0050,Pharmaceuticals Product 050,Pharmaceuticals,WH-05,SUP-10,205,88,104,5,29.8,6.8799642018122835,498.07,0.23,109.61,29.796666666666667,3.3868414840519594,0.0,0.657051282051282,0,0,23484.000500000002
PROD-0051,Electronics Product 051,Electronics,WH-01,SUP-11,165,51,144,5,40.28,4.096224026215834,177.76,0.19,247.18,40.281,11.804772642573813,0.1808,0.3819444444444444,0,1,5572.776
PROD-0052,Clothing Product 052,Clothing,WH-02,SUP-12,3278,98,185,12,70.64,46.40583635737307,273.89,0.15,417.7,70.63766666666668,35.53040756738885,0.0,5.0,1,0,134671.713
PROD-0053,Food Product 053,Food,WH-03,SUP-13,8909,33,84,24,108.36,82.21617930245293,153.19,0.19,450.37,108.36066666666666,14.093131221238506,0.0,5.0,1,0,259306.2449
PROD-0054,Industrial Product 054,Industrial,WH-04,SUP-14,385,54,122,7,21.89,17.591690020714026,372.5,0.24,372.93,21.88533333333333,2.622454321178301,0.0,1.0519125683060109,0,0,34419.0
PROD-0055,Pharmaceuticals Product 055,Pharmaceuticals,WH-05,SUP-15,2573,53,179,23,29.23,88.04005657192391,105.78,0.22,457.4,29.22533333333333,4.1430038561872795,0.0,4.791433891992551,1,0,59877.8268
PROD-0056,Electronics Product 056,Electronics,WH-01,SUP-16,753,74,120,5,37.66,19.995220266071858,423.82,0.16,200.1,37.659,8.277711899173168,0.0,2.091666666666667,1,0,51061.833600000005
PROD-0057,Clothing Product 057,Clothing,WH-02,SUP-17,2010,40,163,11,64.04,31.386633354153652,69.76,0.23,242.46,64.04,36.821292171009596,0.0,4.110429447852761,1,0,32250.048000000003
PROD-0058,Food Product 058,Food,WH-03,SUP-18,852,39,189,5,118.11,7.213634785749966,9.79,0.16,216.15,118.10966666666667,22.882522754693117,0.0,1.5026455026455026,1,0,1334.5728
PROD-0059,Industrial Product 059,Industrial,WH-04,SUP-19,230,36,60,16,22.46,10.238603988603987,278.5,0.2,454.54,22.464000000000002,2.038123553430321,0.3601,1.2777777777777777,0,1,12811.0
PROD-0060,Pharmaceuticals Product 060,Pharmaceuticals,WH-05,SUP-20,2741,25,141,30,29.03,94.41631359581136,399.08,0.18,162.29,29.031000000000002,2.807981820589603,0.0,5.0,1,0,196898.0904
PROD-0061,Electronics Product 061,Electronics,WH-01,SUP-01,2351,91,154,27,40.56,57.96922773449057,55.88,0.3,387.26,40.556000000000004,6.42487576311227,0.0,5.0,1,0,39412.164
PROD-0062,Clothing Product 062,Clothing,WH-02,SUP-02,1586,40,95,10,57.06,27.794816074026038,463.25,0.28,61.15,57.06100000000001,24.31510142160334,0.0,5.0,1,0,205720.06000000003
PROD-0063,Food Product 063,Food,WH-03,SUP-03,5799,72,113,13,120.35,48.184862358640295,369.6,0.19,404.32,120.34899999999999,15.056905234412657,0.0,5.0,1,0,407228.97599999997
PROD-0064,Industrial Product 064,Industrial,WH-04,SUP-04,734,24,170,30,21.56,34.0403165965867,58.51,0.18,417.46,21.562666666666665,1.8173869258071738,0.0,1.4392156862745098,0,0,7730.341199999999
PROD-0065,Pharmaceuticals Product 065,Pharmaceuticals,WH-05,SUP-05,885,49,107,12,28.93,30.59072945351476,232.85,0.15,136.91,28.930333333333337,3.5433210141790603,0.0,2.7570093457943927,1,0,30910.837499999998
PROD-0066,Electronics Product 066,Electronics,WH-01,SUP-06,3333,28,121,30,40.81,81.6631547998236,167.49,0.2,279.23,40.81399999999999,11.61479577747191,0.0,5.0,1,0,111648.83400000002
PROD-0067,Clothing Product 067,Clothing,WH-02,SUP-07,5064,88,134,29,78.62,64.4116375107056,341.36,0.29,101.9,78.61933333333333,28.309953995690325,0.0,5.0,1,0,501307.6416
PROD-0068,Food Product 068,Food,WH-03,SUP-08,835,94,117,8,127.31,6.558553086316318,485.35,0.16,318.46,127.31466666666667,19.056164731806092,0.1802,2.3789173789173788,1,1,64842.76
PROD-0069,Industrial Product 069,Industrial,WH-04,SUP-09,1032,60,161,28,21.46,48.080506895266495,176.12,0.24,280.14,21.464,2.05799602017295,0.0,2.1366459627329193,1,0,43621.4016
PROD-0070,Pharmaceuticals Product 070,Pharmaceuticals,WH-05,SUP-10,1015,44,115,21,29.0,34.99517307957523,195.67,0.16,246.23,29.004,2.5291858279656134,0.0,2.9420289855072466,1,0,31776.807999999997
PROD-0071,Electronics Product 071,Electronics,WH-01,SUP-11,2755,88,100,28,34.58,79.6803146721683,262.36,0.2,81.49,34.57566666666666,5.000329512951501,0.0,5.0,1,0,144560.36000000002
PROD-0072,Clothing Product 072,Clothing,WH-02,SUP-12,3204,99,130,13,70.38,45.52429667519183,333.8,0.25,106.08,70.37999999999998,13.808791540519485,0.0,5.0,1,0,267373.8
PROD-0073,Food Product 073,Food,WH-03,SUP-13,3913,59,154,19,124.49,31.433169370667194,450.52,0.2,363.74,124.48633333333333,16.817815950155236,0.0,5.0,1,0,352576.95200000005
PROD-0074,Industrial Product 074,Industrial,WH-04,SUP-14,583,73,147,9,22.13,26.347503841402787,279.43,0.25,456.26,22.127333333333336,2.269375831956061,0.0,1.3219954648526078,0,0,40726.9225
PROD-0075,Pharmaceuticals Product 075,Pharmaceuticals,WH-05,SUP-15,532,71,190,12,29.39,18.102832253893357,309.68,0.28,186.74,29.387666666666668,2.6315693308097217,0.0,0.9333333333333333,0,0,46129.93280000001
PROD-0076,Electronics Product 076,Electronics,WH-01,SUP-16,4443,94,132,28,41.67,106.6328530628245,109.04,0.22,248.97,41.666333333333334,5.04618007341542,0.0,5.0,1,0,106582.2384
PROD-0077,Clothing Product 077,Clothing,WH-02,SUP-17,3908,41,71,18,64.85,60.25966549820619,110.78,0.19,348.73,64.85266666666666,25.926242818169065,0.0,5.0,1,0,82256.3656
PROD-0078,Food Product 078,Food,WH-03,SUP-18,1435,50,129,5,118.37,12.122867586183592,311.53,0.18,139.61,118.37133333333333,16.619866482760003,0.0,3.708010335917313,1,0,80468.199
PROD-0079,Industrial Product 079,Industrial,WH-04,SUP-19,440,80,68,10,21.06,20.896656534954406,17.09,0.22,448.76,21.056,2.3497122417538736,0.0,2.156862745098039,1,0,1654.3120000000001
PROD-0080,Pharmaceuticals Product 080,Pharmaceuticals,WH-05,SUP-20,1173,69,176,25,29.31,40.01865035139991,289.96,0.21,116.41,29.311333333333334,1.218783546547085,0.0,2.221590909090909,1,0,71425.84679999998
PROD-0081,Electronics Product 081,Electronics,WH-01,SUP-01,1700,33,158,27,38.6,44.038408400110534,345.37,0.18,411.85,38.602666666666664,15.613098896210753,0.0,3.586497890295359,1,0,105683.22
PROD-0082,Clothing Product 082,Clothing,WH-02,SUP-02,4406,26,192,17,66.52,66.23273153646107,349.48,0.19,431.75,66.523,21.08402374175438,0.0,5.0,1,0,292563.68720000004
PROD-0083,Food Product 083,Food,WH-03,SUP-03,6578,79,185,28,122.7,53.61159710072482,230.95,0.3,317.95,122.69733333333333,17.26564190744742,0.0,5.0,1,0,455756.7299999999
PROD-0084,Industrial Product 084,Industrial,WH-04,SUP-04,899,98,179,17,22.99,39.10962877030162,475.27,0.21,458.08,22.986666666666668,3.2671671142413996,0.0,1.6741154562383613,1,0,89726.2233
PROD-0085,Pharmaceuticals Product 085,Pharmaceuticals,WH-05,SUP-05,909,80,165,8,28.71,31.663280116110307,225.73,0.19,161.26,28.708333333333332,3.2662706271104853,0.0,1.8363636363636364,1,0,38985.828299999994
PROD-0086,Electronics Product 086,Electronics,WH-01,SUP-06,2798,86,174,27,36.99,75.63661266196904,320.64,0.24,173.57,36.992666666666665,11.39010786353039,0.0,5.0,1,0,215316.17279999997
PROD-0087,Clothing Product 087,Clothing,WH-02,SUP-07,1899,50,119,12,65.96,28.792067398808292,43.35,0.2,451.86,65.95566666666666,34.51276740984,0.0,5.0,1,0,16464.33
PROD-0088,Food Product 088,Food,WH-03,SUP-08,1603,49,148,7,117.69,13.620991451829443,44.89,0.25,367.89,117.686,17.627374544535506,0.0,3.6103603603603602,1,0,17989.6675
PROD-0089,Industrial Product 089,Industrial,WH-04,SUP-09,394,62,188,16,21.31,18.488104734644082,36.79,0.22,78.02,21.310999999999996,2.405895536662604,0.0,0.6985815602836879,0,0,3188.9572000000003
PROD-0090,Pharmaceuticals Product 090,Pharmaceuticals,WH-05,SUP-10,763,94,55,15,28.81,26.48661783594265,417.28,0.28,394.52,28.807000000000002,2.36983021292531,0.0,4.624242424242424,1,0,89147.6992
PROD-0091,Electronics Product 091,Electronics,WH-01,SUP-11,359,65,126,3,38.04,9.436276657262516,193.29,0.26,434.05,38.044666666666664,5.451469002545293,0.0,0.9497354497354498,0,0,18041.6886
PROD-0092,Clothing Product 092,Clothing,WH-02,SUP-12,2768,88,189,16,64.35,43.016099956486606,476.95,0.27,454.02,64.348,18.77462979154371,0.0,4.881834215167548,1,0,356453.352
PROD-0093,Food Product 093,Food,WH-03,SUP-13,4106,75,174,11,118.12,34.759984536067925,246.67,0.15,201.26,118.12433333333334,17.888949768209553,0.0,5.0,1,0,151924.05299999999
PROD-0094,Industrial Product 094,Industrial,WH-04,SUP-14,406,41,169,15,22.35,18.167715760269683,341.18,0.29,491.32,22.34733333333333,1.8609444606743484,0.0,0.8007889546351085,0,0,40170.533200000005
PROD-0095,Pharmaceuticals Product 095,Pharmaceuticals,WH-05,SUP-15,1061,95,194,15,29.2,36.329810304289275,269.39,0.25,87.78,29.204666666666665,1.7479198521455608,0.0,1.8230240549828178,1,0,71455.6975
PROD-0096,Electronics Product 096,Electronics,WH-01,SUP-16,4099,79,96,30,36.46,112.41326983024199,217.16,0.16,220.6,36.46366666666666,8.77552033459313,0.0,5.0,1,0,142422.2144
PROD-0097,Clothing Product 097,Clothing,WH-02,SUP-17,1639,63,147,13,62.02,26.42639091925359,109.77,0.19,478.04,62.02133333333334,38.008660353987224,0.0,3.7165532879818595,1,0,34183.4757
PROD-0098,Food Product 098,Food,WH-03,SUP-18,10069,30,170,29,117.94,85.37536671810612,213.67,0.15,292.74,117.938,27.286755465051737,0.0,5.0,1,0,322716.48449999996
PROD-0099,Industrial Product 099,Industrial,WH-04,SUP-19,278,48,67,14,21.5,12.928428591359346,499.95,0.27,343.29,21.503,3.4316246325971504,0.0765,1.3830845771144278,0,1,37526.247
PROD-0100,Pharmaceuticals Product 100,Pharmaceuticals,WH-05,SUP-20,1110,45,55,10,28.41,39.0647912438558,378.35,0.24,157.35,28.41433333333333,2.5008379548045063,0.0,5.0,1,0,100792.44
