product_id,category,avg_daily_sales,annual_demand,lead_time_days,unit_cost,ordering_cost,holding_cost_per_unit,eoq,safety_stock_95,safety_stock_99,rop_95,rop_99,current_stock,current_order_qty,current_total_cost,optimal_total_cost,cost_savings,cost_savings_pct,recommendation
PROD-0039,Industrial,21.93,8004.45,8,425.1,439.09,93.522,274.0,20.0,29.0,195.0,204.0,265,87.0,44466.758155172414,25639.79119160584,18826.97,42.34,Switch to EOQ policy
PROD-0040,Pharmaceuticals,29.14,10636.1,8,451.71,169.34,135.51299999999998,163.0,27.0,38.0,260.0,271.0,218,25.0,73738.59946000001,22094.108113496928,51644.49,70.04,Switch to EOQ policy
PROD-0041,Electronics,40.22,14680.3,17,393.11,378.73,98.2775,336.0,55.0,77.0,739.0,761.0,1990,79.0,74260.0627563291,33057.85219940476,41202.21,55.48,Switch to EOQ policy
PROD-0042,Clothing,72.81,26575.65,24,392.76,147.97,70.6968,334.0,117.0,166.0,1864.0,1913.0,5154,44.5,89941.51909213484,23580.01509251497,66361.5,73.78,Switch to EOQ policy
PROD-0043,Food,109.54,39982.100000000006,26,33.95,75.72,8.827000000000002,828.0,184.0,260.0,3032.0,3108.0,10821,32.5,93295.58065769232,7310.71207246377,85984.87,92.16,Switch to EOQ policy
PROD-0044,Industrial,22.46,8197.9,19,294.17,278.52,47.06720000000001,311.0,32.0,46.0,459.0,473.0,961,45.0,51798.54773333333,14660.683066237943,37137.86,71.7,Switch to EOQ policy
PROD-0045,Pharmaceuticals,28.25,10311.25,5,426.41,155.84,106.6025,174.0,21.0,29.0,162.0,170.0,315,33.5,49752.91127798508,18509.50485632184,31243.41,62.8,Switch to EOQ policy
PROD-0046,Electronics,37.79,13793.35,21,64.34,328.72,15.441600000000001,766.0,57.0,81.0,851.0,875.0,620,99.0,46563.854270707074,11833.388690339427,34730.47,74.59,Switch to EOQ policy
PROD-0047,Clothing,74.21,27086.649999999998,21,212.52,167.34,42.504000000000005,462.0,112.0,158.0,1670.0,1716.0,997,91.5,51482.04445901638,19629.419694805198,31852.62,61.87,Switch to EOQ policy
PROD-0048,Food,113.81,41540.65,13,336.51,352.26,70.66709999999999,644.0,135.0,191.0,1615.0,1671.0,2977,58.5,252205.6343673077,45477.025717080745,206728.61,81.97,Switch to EOQ policy
PROD-0049,Industrial,21.88,7986.2,13,153.5,499.3,33.77,486.0,26.0,37.0,310.0,321.0,463,26.0,153804.76615384617,16410.862386831275,137393.9,89.33,Switch to EOQ policy
PROD-0050,Pharmaceuticals,29.8,10877.0,5,498.07,109.61,114.5561,144.0,22.0,31.0,171.0,180.0,205,52.0,25905.91956153846,16527.400102777778,9378.52,36.2,Switch to EOQ policy
PROD-0051,Electronics,40.28,14702.2,5,177.76,247.18,33.7744,464.0,30.0,42.0,231.0,243.0,165,72.0,51689.34778888889,15667.750877586208,36021.6,69.69,Switch to EOQ policy
PROD-0052,Clothing,70.64,25783.6,12,273.89,417.7,41.083499999999994,724.0,81.0,114.0,929.0,962.0,3278,92.5,118330.48722635135,29747.654790055247,88582.83,74.86,Switch to EOQ policy
PROD-0053,Food,108.36,39551.4,24,153.19,450.37,29.1061,1106.0,175.0,247.0,2776.0,2848.0,8909,42.0,424724.6571,32201.246553164558,392523.41,92.42,Switch to EOQ policy
PROD-0054,Industrial,21.89,7989.85,7,372.5,372.93,89.39999999999999,258.0,19.0,27.0,172.0,180.0,385,61.0,51573.49935245902,23081.649459302324,28491.85,55.25,Switch to EOQ policy
PROD-0055,Pharmaceuticals,29.23,10668.95,23,105.78,457.4,23.2716,648.0,46.0,65.0,718.0,737.0,2573,89.5,55566.29493798883,15070.828230246912,40495.47,72.88,Switch to EOQ policy
PROD-0056,Electronics,37.66,13745.9,5,423.82,200.1,67.8112,285.0,28.0,39.0,216.0,227.0,753,60.0,47876.9125,19314.164736842104,28562.75,59.66,Switch to EOQ policy
PROD-0057,Clothing,64.04,23374.600000000002,11,69.76,242.46,16.044800000000002,841.0,70.0,99.0,774.0,803.0,2010,81.5,70192.54358773006,13485.727241854936,56706.82,80.79,Switch to EOQ policy
PROD-0058,Food,118.11,43110.15,5,9.79,216.15,1.5663999999999998,3449.0,87.0,123.0,678.0,714.0,852,94.5,98679.92692380953,5402.984524702812,93276.94,94.52,Switch to EOQ policy
PROD-0059,Industrial,22.46,8197.9,16,278.5,454.54,55.7,366.0,30.0,42.0,389.0,401.0,230,30.0,125044.61553333333,20374.175043715848,104670.44,83.71,Switch to EOQ policy
PROD-0060,Pharmaceuticals,29.03,10595.95,30,399.08,162.29,71.83439999999999,219.0,52.0,74.0,923.0,945.0,2741,70.5,26923.88920283688,15717.997966666666,11205.89,41.62,Switch to EOQ policy
PROD-0061,Electronics,40.56,14804.400000000001,27,55.88,387.26,16.764,827.0,69.0,98.0,1164.0,1193.0,2351,77.0,75101.93275324676,13864.383097944377,61237.55,81.54,Switch to EOQ policy
PROD-0062,Clothing,57.06,20826.9,10,463.25,61.15,129.71,140.0,59.0,84.0,630.0,655.0,1586,47.5,29892.505868421053,18176.592392857143,11715.91,39.19,Switch to EOQ policy
PROD-0063,Food,120.35,43927.75,13,369.6,404.32,70.224,711.0,143.0,202.0,1708.0,1767.0,5799,56.5,316335.47189380525,49944.75560056259,266390.72,84.21,Switch to EOQ policy
PROD-0064,Industrial,21.56,7869.4,30,58.51,417.46,10.531799999999999,790.0,39.0,55.0,686.0,702.0,734,85.0,39096.53942941176,8318.491030379746,30778.05,78.72,Switch to EOQ policy
PROD-0065,Pharmaceuticals,28.93,10559.45,12,232.85,136.91,34.927499999999995,288.0,33.0,47.0,380.0,394.0,885,53.5,27956.63398014019,10049.331873263889,17907.3,64.05,Switch to EOQ policy
PROD-0066,Electronics,40.81,14895.650000000001,30,167.49,279.23,33.498000000000005,498.0,74.0,104.0,1298.0,1328.0,3333,60.5,69762.27895454546,16693.03483032129,53069.24,76.07,Switch to EOQ policy
PROD-0067,Clothing,78.62,28696.300000000003,29,341.36,101.9,98.9944,243.0,139.0,197.0,2419.0,2477.0,5064,67.0,46960.38657910449,24061.37091687243,22899.02,48.76,Switch to EOQ policy
PROD-0068,Food,127.31,46468.15,8,485.35,318.46,77.656,617.0,118.0,168.0,1136.0,1186.0,835,58.5,255232.926017094,47941.06894813614,207291.86,81.22,Switch to EOQ policy
PROD-0069,Industrial,21.46,7832.900000000001,28,176.12,280.14,42.2688,322.0,37.0,53.0,638.0,654.0,1032,80.5,28959.811199999996,13619.8998,15339.91,52.97,Switch to EOQ policy
PROD-0070,Pharmaceuticals,29.0,10585.0,21,195.67,246.23,31.307199999999998,408.0,44.0,62.0,653.0,671.0,1015,57.5,46227.81330434782,12774.768187254902,33453.05,72.37,Switch to EOQ policy
PROD-0071,Electronics,34.58,12621.699999999999,28,262.36,81.49,52.47200000000001,198.0,60.0,85.0,1028.0,1053.0,2755,50.0,21882.646659999995,10389.386247474748,11493.26,52.52,Switch to EOQ policy
PROD-0072,Clothing,70.38,25688.699999999997,13,333.8,106.08,83.45,256.0,83.0,118.0,998.0,1033.0,3204,65.0,44636.083399999996,21326.3550625,23309.73,52.22,Switch to EOQ policy
PROD-0073,Food,124.49,45438.85,19,450.52,363.74,90.104,606.0,179.0,252.0,2544.0,2617.0,3913,77.0,218117.41048051947,54575.319424092406,163542.09,74.98,Switch to EOQ policy
PROD-0074,Industrial,22.13,8077.45,9,279.43,456.26,69.8575,325.0,22.0,31.0,221.0,230.0,583,73.5,52708.99560119047,22691.58940230769,30017.41,56.95,Switch to EOQ policy
PROD-0075,Pharmaceuticals,29.39,10727.35,12,309.68,186.74,86.7104,215.0,33.0,47.0,386.0,400.0,532,95.0,25205.32651578948,18638.695158139537,6566.63,26.05,Switch to EOQ policy
PROD-0076,Electronics,41.67,15209.550000000001,28,109.04,248.97,23.9888,562.0,73.0,103.0,1240.0,1270.0,4443,66.0,58166.20105909091,13478.791703024912,44687.41,76.83,Switch to EOQ policy
PROD-0077,Clothing,64.85,23670.249999999996,18,110.78,348.73,21.0482,886.0,91.0,128.0,1258.0,1295.0,3908,35.5,232895.47266267607,18640.973686343114,214254.5,92.0,Switch to EOQ policy
PROD-0078,Food,118.37,43205.05,5,311.53,139.61,56.075399999999995,464.0,87.0,123.0,679.0,715.0,1435,64.5,95325.5949135659,26009.184676077588,69316.41,72.72,Switch to EOQ policy
PROD-0079,Industrial,21.06,7686.9,10,17.09,448.76,3.7598,1355.0,22.0,31.0,233.0,242.0,440,34.0,101521.95318823527,5093.075012177122,96428.88,94.98,Switch to EOQ policy
PROD-0080,Pharmaceuticals,29.31,10698.15,25,289.96,116.41,60.8916,202.0,48.0,68.0,781.0,801.0,1173,88.0,16831.180871590906,12315.257746039602,4515.92,26.83,Switch to EOQ policy
PROD-0081,Electronics,38.6,14089.0,27,345.37,411.85,62.166599999999995,432.0,66.0,93.0,1108.0,1135.0,1700,79.0,75905.6395607595,26859.82506759259,49045.81,64.61,Switch to EOQ policy
PROD-0082,Clothing,66.52,24279.8,17,349.48,431.75,66.4012,562.0,90.0,128.0,1221.0,1259.0,4406,96.0,112383.12895416666,37311.412733807825,75071.72,66.8,Switch to EOQ policy
PROD-0083,Food,122.7,44785.5,28,230.95,317.95,69.285,641.0,214.0,302.0,3650.0,3738.0,6578,92.5,157145.5093581081,44420.42865444618,112725.08,71.73,Switch to EOQ policy
PROD-0084,Industrial,22.99,8391.349999999999,17,475.27,458.08,99.80669999999999,278.0,31.0,44.0,422.0,435.0,899,89.5,47415.06052891061,27700.14427841726,19714.92,41.58,Switch to EOQ policy
PROD-0085,Pharmaceuticals,28.71,10479.15,8,225.73,161.26,42.8887,281.0,27.0,38.0,257.0,268.0,909,82.5,22252.404075,12039.626510142349,10212.78,45.9,Switch to EOQ policy
PROD-0086,Electronics,36.99,13501.35,27,320.64,173.57,76.9536,247.0,63.0,89.0,1062.0,1088.0,2798,87.0,30283.450789655173,18991.3376951417,11292.11,37.29,Switch to EOQ policy
PROD-0087,Clothing,65.96,24075.399999999998,12,43.35,451.86,8.67,1584.0,75.0,106.0,867.0,898.0,1899,59.5,183093.39878571426,13734.512628787877,169358.89,92.5,Switch to EOQ policy
PROD-0088,Food,117.69,42956.85,7,44.89,367.89,11.2225,1678.0,102.0,145.0,926.0,969.0,1603,74.0,213974.63177702704,18833.67246215733,195140.96,91.2,Switch to EOQ policy
PROD-0089,Industrial,21.31,7778.15,16,36.79,78.02,8.0938,387.0,28.0,40.0,369.0,381.0,394,94.0,6836.2730999999985,3134.241418863049,3702.03,54.15,Switch to EOQ policy
PROD-0090,Pharmaceuticals,28.81,10515.65,15,417.28,394.52,116.83840000000001,266.0,37.0,52.0,469.0,484.0,763,27.5,152465.9548363636,31135.876515789474,121330.08,79.58,Switch to EOQ policy
PROD-0091,Electronics,38.04,13884.6,3,193.29,434.05,50.2554,490.0,22.0,31.0,136.0,145.0,359,63.0,97243.5312904762,24611.77836734694,72631.75,74.69,Switch to EOQ policy
PROD-0092,Clothing,64.35,23487.749999999996,16,476.95,454.02,128.7765,407.0,85.0,120.0,1115.0,1150.0,2768,94.5,118930.27962499998,52407.26653378378,66523.01,55.93,Switch to EOQ policy
PROD-0093,Food,118.12,43113.8,11,246.67,201.26,37.000499999999995,685.0,129.0,182.0,1428.0,1481.0,4106,87.0,101346.11241666667,25339.9462689781,76006.17,75.0,Switch to EOQ policy
PROD-0094,Industrial,22.35,8157.750000000001,15,341.18,491.32,98.9422,285.0,28.0,40.0,363.0,375.0,406,84.5,51613.03848254439,28162.65202631579,23450.39,45.44,Switch to EOQ policy
PROD-0095,Pharmaceuticals,29.2,10658.0,15,269.39,87.78,67.3475,167.0,37.0,53.0,475.0,491.0,1061,97.0,12911.2943685567,11225.667387724552,1685.63,13.06,Switch to EOQ policy
PROD-0096,Electronics,36.46,13307.9,30,217.16,220.6,34.7456,411.0,66.0,93.0,1160.0,1187.0,4099,48.0,61994.78481666666,14283.098512895378,47711.69,76.96,Switch to EOQ policy
PROD-0097,Clothing,62.02,22637.300000000003,13,109.77,478.04,20.8563,1019.0,74.0,104.0,880.0,910.0,1639,73.5,147998.23626309526,21246.044312217862,126752.19,85.64,Switch to EOQ policy
PROD-0098,Food,117.94,43048.1,29,213.67,292.74,32.0505,887.0,209.0,295.0,3629.0,3715.0,10069,85.0,149619.80265,28421.725717305526,121198.08,81.0,Switch to EOQ policy
PROD-0099,Industrial,21.5,7847.5,14,499.95,343.29,134.9865,200.0,26.0,37.0,327.0,338.0,278,33.5,82677.98730783582,26968.491375,55709.5,67.38,Switch to EOQ policy
PROD-0100,Pharmaceuticals,28.41,10369.65,10,378.35,157.35,90.804,190.0,30.0,42.0,314.0,326.0,1110,27.5,60581.806909090905,17214.087513157894,43367.72,71.59,Switch to EOQ policy
