shipment_id,product_id,supplier_id,warehouse_id,order_date,expected_date,actual_date,quantity,unit_cost,total_cost,delay_days,on_time,defective_units
SHP-000033,PROD-0001,SUP-01,WH-01,2023-09-01,2023-10-17,2023-10-17,253,321.52,81344.56,0,True,16
SHP-000034,PROD-0001,SUP-01,WH-01,2023-09-20,2023-11-03,2023-11-03,218,321.52,70091.36,0,True,14
SHP-000035,PROD-0001,SUP-01,WH-01,2023-10-09,2023-11-20,2023-11-20,323,321.52,103850.96,0,True,21
SHP-000036,PROD-0001,SUP-01,WH-01,2023-10-28,2023-12-12,2023-12-19,370,321.52,118962.4,7,False,24
SHP-000037,PROD-0001,SUP-01,WH-01,2023-11-16,2024-01-03,2024-01-15,299,321.52,96134.48,12,False,19
SHP-000038,PROD-0001,SUP-01,WH-01,2023-12-05,2024-01-05,2024-01-05,366,321.52,117676.32,0,True,24
SHP-000039,PROD-0001,SUP-01,WH-01,2023-12-24,2024-02-06,2024-02-06,400,321.52,128608.0,0,True,26
SHP-000040,PROD-0001,SUP-01,WH-01,2024-01-12,2024-02-15,2024-02-20,432,321.52,138896.64,5,False,28
SHP-000041,PROD-0001,SUP-01,WH-01,2024-01-31,2024-03-15,2024-03-15,100,321.52,32152.0,0,True,6
SHP-000042,PROD-0001,SUP-01,WH-01,2024-02-19,2024-03-22,2024-03-22,496,321.52,159473.92,0,True,32
SHP-000043,PROD-0001,SUP-01,WH-01,2024-03-09,2024-04-19,2024-04-19,405,321.52,130215.6,0,True,26
SHP-000044,PROD-0001,SUP-01,WH-01,2024-03-28,2024-05-08,2024-05-13,73,321.52,23470.96,5,False,4
SHP-000045,PROD-0001,SUP-01,WH-01,2024-04-16,2024-05-26,2024-05-26,200,321.52,64304.0,0,True,13
SHP-000046,PROD-0001,SUP-01,WH-01,2024-05-05,2024-06-19,2024-06-19,124,321.52,39868.48,0,True,8
SHP-000047,PROD-0001,SUP-01,WH-01,2024-05-24,2024-07-01,2024-07-01,339,321.52,108995.28,0,True,22
SHP-000048,PROD-0001,SUP-01,WH-01,2024-06-12,2024-07-21,2024-07-21,137,321.52,44048.24,0,True,9
SHP-000049,PROD-0001,SUP-01,WH-01,2024-07-01,2024-08-10,2024-08-10,495,321.52,159152.4,0,True,32
SHP-000050,PROD-0001,SUP-01,WH-01,2024-07-20,2024-08-25,2024-08-25,173,321.52,55622.96,0,True,11
SHP-000051,PROD-0001,SUP-01,WH-01,2024-08-08,2024-09-14,2024-09-22,123,321.52,39546.96,8,False,8
SHP-000052,PROD-0001,SUP-01,WH-01,2024-08-27,2024-10-12,2024-10-12,180,321.52,57873.6,0,True,11
SHP-000053,PROD-0001,SUP-01,WH-01,2024-09-15,2024-10-31,2024-10-31,54,321.52,17362.08,0,True,3
SHP-000054,PROD-0001,SUP-01,WH-01,2024-10-04,2024-11-08,2024-11-08,197,321.52,63339.44,0,True,13
SHP-000055,PROD-0001,SUP-01,WH-01,2024-10-23,2024-12-07,2024-12-07,87,321.52,27972.24,0,True,5
SHP-000056,PROD-0001,SUP-01,WH-01,2024-11-11,2024-12-11,2024-12-19,350,321.52,112532.0,8,False,23
SHP-000057,PROD-0001,SUP-01,WH-01,2024-11-30,2025-01-07,2025-01-07,267,321.52,85845.84,0,True,17
SHP-000058,PROD-0001,SUP-01,WH-01,2024-12-19,2025-01-21,2025-01-21,482,321.52,154972.64,0,True,31
SHP-000059,PROD-0002,SUP-02,WH-02,2022-01-01,2022-01-10,2022-01-14,486,339.97,165225.42,4,False,6
SHP-000060,PROD-0002,SUP-02,WH-02,2022-01-15,2022-01-24,2022-01-24,245,339.97,83292.65,0,True,3
SHP-000061,PROD-0002,SUP-02,WH-02,2022-01-29,2022-02-21,2022-02-21,201,339.97,68333.97,0,True,2
SHP-000062,PROD-0002,SUP-02,WH-02,2022-02-12,2022-03-06,2022-03-06,474,339.97,161145.78,0,True,6
SHP-000063,PROD-0002,SUP-02,WH-02,2022-02-26,2022-03-02,2022-03-02,54,339.97,18358.38,0,True,0
SHP-000064,PROD-0002,SUP-02,WH-02,2022-03-12,2022-03-21,2022-03-21,448,339.97,152306.56,0,True,6
SHP-000065,PROD-0002,SUP-02,WH-02,2022-03-26,2022-03-27,2022-04-08,360,339.97,122389.2,12,False,4
SHP-000066,PROD-0002,SUP-02,WH-02,2022-04-09,2022-04-11,2022-04-11,196,339.97,66634.12,0,True,2
SHP-000067,PROD-0002,SUP-02,WH-02,2022-04-23,2022-04-24,2022-04-24,360,339.97,122389.2,0,True,4
SHP-000068,PROD-0002,SUP-02,WH-02,2022-05-07,2022-05-21,2022-05-21,375,339.97,127488.75,0,True,5
SHP-000069,PROD-0002,SUP-02,WH-02,2022-05-21,2022-05-22,2022-05-22,397,339.97,134968.09,0,True,5
SHP-000070,PROD-0002,SUP-02,WH-02,2022-06-04,2022-06-05,2022-06-05,387,339.97,131568.39,0,True,5
SHP-000071,PROD-0002,SUP-02,WH-02,2022-06-18,2022-06-22,2022-06-22,371,339.97,126128.87,0,True,5
SHP-000072,PROD-0002,SUP-02,WH-02,2022-07-02,2022-07-06,2022-07-06,380,339.97,129188.6,0,True,5
SHP-000073,PROD-0002,SUP-02,WH-02,2022-07-16,2022-07-17,2022-07-17,275,339.97,93491.75,0,True,3
SHP-000074,PROD-0002,SUP-02,WH-02,2022-07-30,2022-08-15,2022-08-15,424,339.97,144147.28,0,True,5
SHP-000075,PROD-0002,SUP-02,WH-02,2022-08-13,2022-08-22,2022-08-22,201,339.97,68333.97,0,True,2
SHP-000076,PROD-0002,SUP-02,WH-02,2022-08-27,2022-08-29,2022-08-29,139,339.97,47255.83,0,True,1
SHP-000077,PROD-0002,SUP-02,WH-02,2022-09-10,2022-09-18,2022-09-18,326,339.97,110830.22,0,True,4
SHP-000078,PROD-0002,SUP-02,WH-02,2022-09-24,2022-10-01,2022-10-01,189,339.97,64254.33,0,True,2
SHP-000079,PROD-0002,SUP-02,WH-02,2022-10-08,2022-10-15,2022-10-15,472,339.97,160465.84,0,True,6
SHP-000080,PROD-0002,SUP-02,WH-02,2022-10-22,2022-11-05,2022-11-05,201,339.97,68333.97,0,True,2
SHP-000081,PROD-0002,SUP-02,WH-02,2022-11-05,2022-11-17,2022-11-17,461,339.97,156726.17,0,True,6
SHP-000082,PROD-0002,SUP-02,WH-02,2022-11-19,2022-12-17,2022-12-17,88,339.97,29917.36,0,True,1
SHP-000083,PROD-0002,SUP-02,WH-02,2022-12-03,2022-12-04,2022-12-04,165,339.97,56095.05,0,True,2
SHP-000084,PROD-0002,SUP-02,WH-02,2022-12-17,2023-01-11,2023-01-11,395,339.97,134288.15,0,True,5
SHP-000085,PROD-0002,SUP-02,WH-02,2022-12-31,2023-01-12,2023-01-12,461,339.97,156726.17,0,True,6
SHP-000086,PROD-0002,SUP-02,WH-02,2023-01-14,2023-01-22,2023-01-22,454,339.97,154346.38,0,True,6
SHP-000087,PROD-0002,SUP-02,WH-02,2023-01-28,2023-01-29,2023-01-29,324,339.97,110150.28,0,True,4
SHP-000088,PROD-0002,SUP-02,WH-02,2023-02-11,2023-02-14,2023-02-14,394,339.97,133948.18,0,True,5
SHP-000089,PROD-0002,SUP-02,WH-02,2023-02-25,2023-03-07,2023-03-07,349,339.97,118649.53,0,True,4
SHP-000090,PROD-0002,SUP-02,WH-02,2023-03-11,2023-03-12,2023-03-12,240,339.97,81592.8,0,True,3
SHP-000091,PROD-0002,SUP-02,WH-02,2023-03-25,2023-04-02,2023-04-02,291,339.97,98931.27,0,True,3
SHP-000092,PROD-0002,SUP-02,WH-02,2023-04-08,2023-05-05,2023-05-05,337,339.97,114569.89,0,True,4
SHP-000093,PROD-0002,SUP-02,WH-02,2023-04-22,2023-05-03,2023-05-03,163,339.97,55415.11,0,True,2
SHP-000094,PROD-0002,SUP-02,WH-02,2023-05-06,2023-05-19,2023-05-19,471,339.97,160125.87,0,True,6
SHP-000095,PROD-0002,SUP-02,WH-02,2023-05-20,2023-05-21,2023-05-21,204,339.97,69353.88,0,True,2
SHP-000096,PROD-0002,SUP-02,WH-02,2023-06-03,2023-06-16,2023-06-16,121,339.97,41136.37,0,True,1
SHP-000097,PROD-0002,SUP-02,WH-02,2023-06-17,2023-06-18,2023-06-18,205,339.97,69693.85,0,True,2
SHP-000098,PROD-0002,SUP-02,WH-02,2023-07-01,2023-07-02,2023-07-02,170,339.97,57794.9,0,True,2
SHP-000099,PROD-0002,SUP-02,WH-02,2023-07-15,2023-07-28,2023-07-28,282,339.97,95871.54,0,True,3
SHP-000100,PROD-0002,SUP-02,WH-02,2023-07-29,2023-08-08,2023-08-08,430,339.97,146187.1,0,True,5
SHP-000101,PROD-0002,SUP-02,WH-02,2023-08-12,2023-09-03,2023-09-03,264,339.97,89752.08,0,True,3
SHP-000102,PROD-0002,SUP-02,WH-02,2023-08-26,2023-08-27,2023-08-27,129,339.97,43856.13,0,True,1
SHP-000103,PROD-0002,SUP-02,WH-02,2023-09-09,2023-09-26,2023-09-26,476,339.97,161825.72,0,True,6
SHP-000104,PROD-0002,SUP-02,WH-02,2023-09-23,2023-09-29,2023-09-29,193,339.97,65614.21,0,True,2
SHP-000105,PROD-0002,SUP-02,WH-02,2023-10-07,2023-10-23,2023-10-23,161,339.97,54735.17,0,True,2
SHP-000106,PROD-0002,SUP-02,WH-02,2023-10-21,2023-10-22,2023-10-22,170,339.97,57794.9,0,True,2
SHP-000107,PROD-0002,SUP-02,WH-02,2023-11-04,2023-11-17,2023-11-17,401,339.97,136327.97,0,True,5
SHP-000108,PROD-0002,SUP-02,WH-02,2023-11-18,2023-11-19,2023-11-19,380,339.97,129188.6,0,True,5
SHP-000109,PROD-0002,SUP-02,WH-02,2023-12-02,2023-12-24,2023-12-24,191,339.97,64934.27,0,True,2
SHP-000110,PROD-0002,SUP-02,WH-02,2023-12-16,2023-12-19,2023-12-19,484,339.97,164545.48,0,True,6
SHP-000111,PROD-0002,SUP-02,WH-02,2023-12-30,2024-01-05,2024-01-05,389,339.97,132248.33,0,True,5
SHP-000112,PROD-0002,SUP-02,WH-02,2024-01-13,2024-01-25,2024-01-25,355,339.97,120689.35,0,True,4
SHP-000113,PROD-0002,SUP-02,WH-02,2024-01-27,2024-01-28,2024-01-28,220,339.97,74793.4,0,True,2
SHP-000114,PROD-0002,SUP-02,WH-02,2024-02-10,2024-02-26,2024-03-01,452,339.97,153666.44,4,False,6
SHP-000115,PROD-0002,SUP-02,WH-02,2024-02-24,2024-03-15,2024-03-15,474,339.97,161145.78,0,True,6
SHP-000116,PROD-0002,SUP-02,WH-02,2024-03-09,2024-03-10,2024-03-10,350,339.97,118989.5,0,True,4
SHP-000117,PROD-0002,SUP-02,WH-02,2024-03-23,2024-03-27,2024-03-27,169,339.97,57454.93,0,True,2
SHP-000118,PROD-0002,SUP-02,WH-02,2024-04-06,2024-04-09,2024-04-09,453,339.97,154006.41,0,True,6
SHP-000119,PROD-0002,SUP-02,WH-02,2024-04-20,2024-04-21,2024-04-21,489,339.97,166245.33,0,True,6
SHP-000120,PROD-0002,SUP-02,WH-02,2024-05-04,2024-05-12,2024-05-15,326,339.97,110830.22,3,False,4
SHP-000121,PROD-0002,SUP-02,WH-02,2024-05-18,2024-05-30,2024-05-30,106,339.97,36036.82,0,True,1
SHP-000122,PROD-0002,SUP-02,WH-02,2024-06-01,2024-06-02,2024-06-02,117,339.97,39776.49,0,True,1
SHP-000123,PROD-0002,SUP-02,WH-02,2024-06-15,2024-07-10,2024-07-10,453,339.97,154006.41,0,True,6
SHP-000124,PROD-0002,SUP-02,WH-02,2024-06-29,2024-07-07,2024-07-07,58,339.97,19718.26,0,True,0
SHP-000125,PROD-0002,SUP-02,WH-02,2024-07-13,2024-07-23,2024-07-23,114,339.97,38756.58,0,True,1
SHP-000126,PROD-0002,SUP-02,WH-02,2024-07-27,2024-08-06,2024-08-06,108,339.97,36716.76,0,True,1
SHP-000127,PROD-0002,SUP-02,WH-02,2024-08-10,2024-08-11,2024-08-11,279,339.97,94851.63,0,True,3
SHP-000128,PROD-0002,SUP-02,WH-02,2024-08-24,2024-08-25,2024-08-25,353,339.97,120009.41,0,True,4
SHP-000129,PROD-0002,SUP-02,WH-02,2024-09-07,2024-09-28,2024-09-28,163,339.97,55415.11,0,True,2
SHP-000130,PROD-0002,SUP-02,WH-02,2024-09-21,2024-10-13,2024-10-13,451,339.97,153326.47,0,True,6
SHP-000131,PROD-0002,SUP-02,WH-02,2024-10-05,2024-10-23,2024-10-23,204,339.97,69353.88,0,True,2
SHP-000132,PROD-0002,SUP-02,WH-02,2024-10-19,2024-10-23,2024-10-23,65,339.97,22098.05,0,True,0
SHP-000133,PROD-0002,SUP-02,WH-02,2024-11-02,2024-11-03,2024-11-04,483,339.97,164205.51,1,False,6
SHP-000134,PROD-0002,SUP-02,WH-02,2024-11-16,2024-11-19,2024-11-19,105,339.97,35696.85,0,True,1
SHP-000135,PROD-0002,SUP-02,WH-02,2024-11-30,2024-12-01,2024-12-01,277,339.97,94171.69,0,True,3
SHP-000136,PROD-0002,SUP-02,WH-02,2024-12-14,2024-12-19,2024-12-19,214,339.97,72753.58,0,True,2
SHP-000137,PROD-0002,SUP-02,WH-02,2024-12-28,2025-01-04,2025-01-04,114,339.97,38756.58,0,True,1
SHP-000138,PROD-0003,SUP-03,WH-03,2022-01-01,2022-02-12,2022-02-12,330,120.17,39656.1,0,True,44
SHP-000139,PROD-0003,SUP-03,WH-03,2022-01-15,2022-02-25,2022-02-25,355,120.17,42660.35,0,True,47
SHP-000140,PROD-0003,SUP-03,WH-03,2022-01-29,2022-03-13,2022-03-13,308,120.17,37012.36,0,True,41
SHP-000141,PROD-0003,SUP-03,WH-03,2022-02-12,2022-03-29,2022-03-29,456,120.17,54797.52,0,True,61
SHP-000142,PROD-0003,SUP-03,WH-03,2022-02-26,2022-04-07,2022-04-07,385,120.17,46265.45,0,True,52
SHP-000143,PROD-0003,SUP-03,WH-03,2022-03-12,2022-04-22,2022-05-03,332,120.17,39896.44,11,False,44
SHP-000144,PROD-0003,SUP-03,WH-03,2022-03-26,2022-04-30,2022-05-12,270,120.17,32445.9,12,False,36
SHP-000145,PROD-0003,SUP-03,WH-03,2022-04-09,2022-05-24,2022-06-01,261,120.17,31364.37,8,False,35
SHP-000146,PROD-0003,SUP-03,WH-03,2022-04-23,2022-06-03,2022-06-09,254,120.17,30523.18,6,False,34
SHP-000147,PROD-0003,SUP-03,WH-03,2022-05-07,2022-06-19,2022-06-19,210,120.17,25235.7,0,True,28
SHP-000148,PROD-0003,SUP-03,WH-03,2022-05-21,2022-07-01,2022-07-01,180,120.17,21630.6,0,True,24
SHP-000149,PROD-0003,SUP-03,WH-03,2022-06-04,2022-07-17,2022-07-23,401,120.17,48188.17,6,False,54
SHP-000150,PROD-0003,SUP-03,WH-03,2022-06-18,2022-08-01,2022-08-01,475,120.17,57080.75,0,True,64
SHP-000151,PROD-0003,SUP-03,WH-03,2022-07-02,2022-08-12,2022-08-12,99,120.17,11896.83,0,True,13
SHP-000152,PROD-0003,SUP-03,WH-03,2022-07-16,2022-08-28,2022-09-09,465,120.17,55879.05,12,False,62
SHP-000153,PROD-0003,SUP-03,WH-03,2022-07-30,2022-09-07,2022-09-07,350,120.17,42059.5,0,True,47
SHP-000154,PROD-0003,SUP-03,WH-03,2022-08-13,2022-09-26,2022-09-26,393,120.17,47226.81,0,True,53
SHP-000155,PROD-0003,SUP-03,WH-03,2022-08-27,2022-10-07,2022-10-07,497,120.17,59724.49,0,True,67
SHP-000156,PROD-0003,SUP-03,WH-03,2022-09-10,2022-10-24,2022-11-04,266,120.17,31965.22,11,False,35
SHP-000157,PROD-0003,SUP-03,WH-03,2022-09-24,2022-11-06,2022-11-20,76,120.17,9132.92,14,False,10
SHP-000158,PROD-0003,SUP-03,WH-03,2022-10-08,2022-11-25,2022-11-25,230,120.17,27639.1,0,True,31
SHP-000159,PROD-0003,SUP-03,WH-03,2022-10-22,2022-12-05,2022-12-05,158,120.17,18986.86,0,True,21
SHP-000160,PROD-0003,SUP-03,WH-03,2022-11-05,2022-12-20,2022-12-20,164,120.17,19707.88,0,True,22
SHP-000161,PROD-0003,SUP-03,WH-03,2022-11-19,2023-01-01,2023-01-01,482,120.17,57921.94,0,True,65
SHP-000162,PROD-0003,SUP-03,WH-03,2022-12-03,2023-01-15,2023-01-15,440,120.17,52874.8,0,True,59
SHP-000163,PROD-0003,SUP-03,WH-03,2022-12-17,2023-01-25,2023-01-25,463,120.17,55638.71,0,True,62
SHP-000164,PROD-0003,SUP-03,WH-03,2022-12-31,2023-02-14,2023-02-21,442,120.17,53115.14,7,False,59
SHP-000165,PROD-0003,SUP-03,WH-03,2023-01-14,2023-03-01,2023-03-01,395,120.17,47467.15,0,True,53
SHP-000166,PROD-0003,SUP-03,WH-03,2023-01-28,2023-03-11,2023-03-11,361,120.17,43381.37,0,True,48
SHP-000167,PROD-0003,SUP-03,WH-03,2023-02-11,2023-03-24,2023-04-04,186,120.17,22351.62,11,False,25
SHP-000168,PROD-0003,SUP-03,WH-03,2023-02-25,2023-04-07,2023-04-07,409,120.17,49149.53,0,True,55
SHP-000169,PROD-0003,SUP-03,WH-03,2023-03-11,2023-04-22,2023-04-22,223,120.17,26797.91,0,True,30
SHP-000170,PROD-0003,SUP-03,WH-03,2023-03-25,2023-05-05,2023-05-05,495,120.17,59484.15,0,True,66
SHP-000171,PROD-0003,SUP-03,WH-03,2023-04-08,2023-05-21,2023-05-21,255,120.17,30643.35,0,True,34
SHP-000172,PROD-0003,SUP-03,WH-03,2023-04-22,2023-06-05,2023-06-05,374,120.17,44943.58,0,True,50
SHP-000173,PROD-0003,SUP-03,WH-03,2023-05-06,2023-06-17,2023-06-17,321,120.17,38574.57,0,True,43
SHP-000174,PROD-0003,SUP-03,WH-03,2023-05-20,2023-07-02,2023-07-02,282,120.17,33887.94,0,True,38
SHP-000175,PROD-0003,SUP-03,WH-03,2023-06-03,2023-07-17,2023-07-17,209,120.17,25115.53,0,True,28
SHP-000176,PROD-0003,SUP-03,WH-03,2023-06-17,2023-07-29,2023-07-29,340,120.17,40857.8,0,True,45
SHP-000177,PROD-0003,SUP-03,WH-03,2023-07-01,2023-08-16,2023-08-16,76,120.17,9132.92,0,True,10
SHP-000178,PROD-0003,SUP-03,WH-03,2023-07-15,2023-08-30,2023-08-30,366,120.17,43982.22,0,True,49
SHP-000179,PROD-0003,SUP-03,WH-03,2023-07-29,2023-09-12,2023-09-12,189,120.17,22712.13,0,True,25
SHP-000180,PROD-0003,SUP-03,WH-03,2023-08-12,2023-09-24,2023-09-24,298,120.17,35810.66,0,True,40
SHP-000181,PROD-0003,SUP-03,WH-03,2023-08-26,2023-10-05,2023-10-05,189,120.17,22712.13,0,True,25
SHP-000182,PROD-0003,SUP-03,WH-03,2023-09-09,2023-10-23,2023-10-27,108,120.17,12978.36,4,False,14
SHP-000183,PROD-0003,SUP-03,WH-03,2023-09-23,2023-11-05,2023-11-05,195,120.17,23433.15,0,True,26
SHP-000184,PROD-0003,SUP-03,WH-03,2023-10-07,2023-11-22,2023-11-22,299,120.17,35930.83,0,True,40
SHP-000185,PROD-0003,SUP-03,WH-03,2023-10-21,2023-12-02,2023-12-02,73,120.17,8772.41,0,True,9
SHP-000186,PROD-0003,SUP-03,WH-03,2023-11-04,2023-12-15,2023-12-15,356,120.17,42780.52,0,True,48
SHP-000187,PROD-0003,SUP-03,WH-03,2023-11-18,2024-01-03,2024-01-03,204,120.17,24514.68,0,True,27
SHP-000188,PROD-0003,SUP-03,WH-03,2023-12-02,2024-01-13,2024-01-17,441,120.17,52994.97,4,False,59
SHP-000189,PROD-0003,SUP-03,WH-03,2023-12-16,2024-01-28,2024-01-28,111,120.17,13338.87,0,True,15
SHP-000190,PROD-0003,SUP-03,WH-03,2023-12-30,2024-02-09,2024-02-09,270,120.17,32445.9,0,True,36
SHP-000191,PROD-0003,SUP-03,WH-03,2024-01-13,2024-02-25,2024-02-25,322,120.17,38694.74,0,True,43
SHP-000192,PROD-0003,SUP-03,WH-03,2024-01-27,2024-03-10,2024-03-10,336,120.17,40377.12,0,True,45
SHP-000193,PROD-0003,SUP-03,WH-03,2024-02-10,2024-03-23,2024-03-23,231,120.17,27759.27,0,True,31
SHP-000194,PROD-0003,SUP-03,WH-03,2024-02-24,2024-04-07,2024-04-07,429,120.17,51552.93,0,True,58
SHP-000195,PROD-0003,SUP-03,WH-03,2024-03-09,2024-04-21,2024-04-21,285,120.17,34248.45,0,True,38
SHP-000196,PROD-0003,SUP-03,WH-03,2024-03-23,2024-05-02,2024-05-04,344,120.17,41338.48,2,False,46
SHP-000197,PROD-0003,SUP-03,WH-03,2024-04-06,2024-05-21,2024-05-21,413,120.17,49630.21,0,True,55
SHP-000198,PROD-0003,SUP-03,WH-03,2024-04-20,2024-06-03,2024-06-03,108,120.17,12978.36,0,True,14
SHP-000199,PROD-0003,SUP-03,WH-03,2024-05-04,2024-06-17,2024-06-17,216,120.17,25956.72,0,True,29
SHP-000200,PROD-0003,SUP-03,WH-03,2024-05-18,2024-06-28,2024-07-01,366,120.17,43982.22,3,False,49
SHP-000201,PROD-0003,SUP-03,WH-03,2024-06-01,2024-07-16,2024-07-24,235,120.17,28239.95,8,False,31
SHP-000202,PROD-0003,SUP-03,WH-03,2024-06-15,2024-07-27,2024-07-27,104,120.17,12497.68,0,True,14
SHP-000203,PROD-0003,SUP-03,WH-03,2024-06-29,2024-08-10,2024-08-10,255,120.17,30643.35,0,True,34
SHP-000204,PROD-0003,SUP-03,WH-03,2024-07-13,2024-08-24,2024-08-24,495,120.17,59484.15,0,True,66
SHP-000205,PROD-0003,SUP-03,WH-03,2024-07-27,2024-09-07,2024-09-12,163,120.17,19587.71,5,False,22
SHP-000206,PROD-0003,SUP-03,WH-03,2024-08-10,2024-09-19,2024-09-25,89,120.17,10695.13,6,False,12
SHP-000207,PROD-0003,SUP-03,WH-03,2024-08-24,2024-10-07,2024-10-07,321,120.17,38574.57,0,True,43
SHP-000208,PROD-0003,SUP-03,WH-03,2024-09-07,2024-10-20,2024-10-20,447,120.17,53715.99,0,True,60
SHP-000209,PROD-0003,SUP-03,WH-03,2024-09-21,2024-11-04,2024-11-04,469,120.17,56359.73,0,True,63
SHP-000210,PROD-0003,SUP-03,WH-03,2024-10-05,2024-11-15,2024-11-26,170,120.17,20428.9,11,False,22
SHP-000211,PROD-0003,SUP-03,WH-03,2024-10-19,2024-12-01,2024-12-01,151,120.17,18145.67,0,True,20
SHP-000212,PROD-0003,SUP-03,WH-03,2024-11-02,2024-12-14,2024-12-14,439,120.17,52754.63,0,True,59
SHP-000213,PROD-0003,SUP-03,WH-03,2024-11-16,2024-12-28,2024-12-28,140,120.17,16823.8,0,True,18
SHP-000214,PROD-0003,SUP-03,WH-03,2024-11-30,2025-01-12,2025-01-12,287,120.17,34488.79,0,True,38
SHP-000215,PROD-0003,SUP-03,WH-03,2024-12-14,2025-01-27,2025-01-27,346,120.17,41578.82,0,True,46
SHP-000216,PROD-0003,SUP-03,WH-03,2024-12-28,2025-02-07,2025-02-07,339,120.17,40737.63,0,True,45
SHP-000217,PROD-0004,SUP-04,WH-04,2022-01-01,2022-02-20,2022-03-03,215,274.75,59071.25,11,False,7
SHP-000218,PROD-0004,SUP-04,WH-04,2022-01-21,2022-02-27,2022-03-13,211,274.75,57972.25,14,False,7
SHP-000219,PROD-0004,SUP-04,WH-04,2022-02-10,2022-04-05,2022-04-05,290,274.75,79677.5,0,True,10
SHP-000220,PROD-0004,SUP-04,WH-04,2022-03-02,2022-04-04,2022-04-04,457,274.75,125560.75,0,True,16
