product_id,product_name,category,warehouse_id,supplier_id,current_stock,safety_stock,reorder_point,lead_time_days,avg_daily_sales,days_of_stock,unit_cost,holding_cost_rate,ordering_cost
PROD-0057,Clothing Product 057,Clothing,WH-02,SUP-17,2010,40,163,11,64.04,31.4,69.76,0.23,242.46
PROD-0058,Food Product 058,Food,WH-03,SUP-18,852,39,189,5,118.11,7.2,9.79,0.16,216.15
PROD-0059,Industrial Product 059,Industrial,WH-04,SUP-19,230,36,60,16,22.46,10.2,278.5,0.2,454.54
PROD-0060,Pharmaceuticals Product 060,Pharmaceuticals,WH-05,SUP-20,2741,25,141,30,29.03,94.4,399.08,0.18,162.29
PROD-0061,Electronics Product 061,Electronics,WH-01,SUP-01,2351,91,154,27,40.56,58.0,55.88,0.3,387.26
PROD-0062,Clothing Product 062,Clothing,WH-02,SUP-02,1586,40,95,10,57.06,27.8,463.25,0.28,61.15
PROD-0063,Food Product 063,Food,WH-03,SUP-03,5799,72,113,13,120.35,48.2,369.6,0.19,404.32
PROD-0064,Industrial Product 064,Industrial,WH-04,SUP-04,734,24,170,30,21.56,34.0,58.51,0.18,417.46
PROD-0065,Pharmaceuticals Product 065,Pharmaceuticals,WH-05,SUP-05,885,49,107,12,28.93,30.6,232.85,0.15,136.91
PROD-0066,Electronics Product 066,Electronics,WH-01,SUP-06,3333,28,121,30,40.81,81.7,167.49,0.2,279.23
PROD-0067,Clothing Product 067,Clothing,WH-02,SUP-07,5064,88,134,29,78.62,64.4,341.36,0.29,101.9
PROD-0068,Food Product 068,Food,WH-03,SUP-08,835,94,117,8,127.31,6.6,485.35,0.16,318.46
PROD-0069,Industrial Product 069,Industrial,WH-04,SUP-09,1032,60,161,28,21.46,48.1,176.12,0.24,280.14
PROD-0070,Pharmaceuticals Product 070,Pharmaceuticals,WH-05,SUP-10,1015,44,115,21,29.0,35.0,195.67,0.16,246.23
PROD-0071,Electronics Product 071,Electronics,WH-01,SUP-11,2755,88,100,28,34.58,79.7,262.36,0.2,81.49
PROD-0072,Clothing Product 072,Clothing,WH-02,SUP-12,3204,99,130,13,70.38,45.5,333.8,0.25,106.08
PROD-0073,Food Product 073,Food,WH-03,SUP-13,3913,59,154,19,124.49,31.4,450.52,0.2,363.74
PROD-0074,Industrial Product 074,Industrial,WH-04,SUP-14,583,73,147,9,22.13,26.3,279.43,0.25,456.26
PROD-0075,Pharmaceuticals Product 075,Pharmaceuticals,WH-05,SUP-15,532,71,190,12,29.39,18.1,309.68,0.28,186.74
PROD-0076,Electronics Product 076,Electronics,WH-01,SUP-16,4443,94,132,28,41.67,106.6,109.04,0.22,248.97
PROD-0077,Clothing Product 077,Clothing,WH-02,SUP-17,3908,41,71,18,64.85,60.3,110.78,0.19,348.73
PROD-0078,Food Product 078,Food,WH-03,SUP-18,1435,50,129,5,118.37,12.1,311.53,0.18,139.61
PROD-0079,Industrial Product 079,Industrial,WH-04,SUP-19,440,80,68,10,21.06,20.9,17.09,0.22,448.76
PROD-0080,Pharmaceuticals Product 080,Pharmaceuticals,WH-05,SUP-20,1173,69,176,25,29.31,40.0,289.96,0.21,116.41
PROD-0081,Electronics Product 081,Electronics,WH-01,SUP-01,1700,33,158,27,38.6,44.0,345.37,0.18,411.85
PROD-0082,Clothing Product 082,Clothing,WH-02,SUP-02,4406,26,192,17,66.52,66.2,349.48,0.19,431.75
PROD-0083,Food Product 083,Food,WH-03,SUP-03,6578,79,185,28,122.7,53.6,230.95,0.3,317.95
PROD-0084,Industrial Product 084,Industrial,WH-04,SUP-04,899,98,179,17,22.99,39.1,475.27,0.21,458.08
PROD-0085,Pharmaceuticals Product 085,Pharmaceuticals,WH-05,SUP-05,909,80,165,8,28.71,31.7,225.73,0.19,161.26
PROD-0086,Electronics Product 086,Electronics,WH-01,SUP-06,2798,86,174,27,36.99,75.6,320.64,0.24,173.57
PROD-0087,Clothing Product 087,Clothing,WH-02,SUP-07,1899,50,119,12,65.96,28.8,43.35,0.2,451.86
PROD-0088,Food Product 088,Food,WH-03,SUP-08,1603,49,148,7,117.69,13.6,44.89,0.25,367.89
PROD-0089,Industrial Product 089,Industrial,WH-04,SUP-09,394,62,188,16,21.31,18.5,36.79,0.22,78.02
PROD-0090,Pharmaceuticals Product 090,Pharmaceuticals,WH-05,SUP-10,763,94,55,15,28.81,26.5,417.28,0.28,394.52
PROD-0091,Electronics Product 091,Electronics,WH-01,SUP-11,359,65,126,3,38.04,9.4,193.29,0.26,434.05
PROD-0092,Clothing Product 092,Clothing,WH-02,SUP-12,2768,88,189,16,64.35,43.0,476.95,0.27,454.02
PROD-0093,Food Product 093,Food,WH-03,SUP-13,4106,75,174,11,118.12,34.8,246.67,0.15,201.26
PROD-0094,Industrial Product 094,Industrial,WH-04,SUP-14,406,41,169,15,22.35,18.2,341.18,0.29,491.32
PROD-0095,Pharmaceuticals Product 095,Pharmaceuticals,WH-05,SUP-15,1061,95,194,15,29.2,36.3,269.39,0.25,87.78
PROD-0096,Electronics Product 096,Electronics,WH-01,SUP-16,4099,79,96,30,36.46,112.4,217.16,0.16,220.6
PROD-0097,Clothing Product 097,Clothing,WH-02,SUP-17,1639,63,147,13,62.02,26.4,109.77,0.19,478.04
PROD-0098,Food Product 098,Food,WH-03,SUP-18,10069,30,170,29,117.94,85.4,213.67,0.15,292.74
PROD-0099,Industrial Product 099,Industrial,WH-04,SUP-19,278,48,67,14,21.5,12.9,499.95,0.27,343.29
PROD-0100,Pharmaceuticals Product 100,Pharmaceuticals,WH-05,SUP-20,1110,45,55,10,28.41,39.1,378.35,0.24,157.35
